Measure Mode: wall_time
Thread ID: 70253057271520
Fiber ID: 70253062259540
Total: 2.880588
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.00      0.002     0.000     0.000     0.002       68   Gem::Specification#add_runtime_dependency 
  0.00      0.000     0.000     0.000     0.000       25   Module#class_eval 
  0.00      0.000     0.000     0.000     0.000      148   Kernel#initialize_copy 
  0.00      0.000     0.000     0.000     0.000       90  *Gem::Specification#full_gem_path 
  0.00      0.000     0.000     0.000     0.000       70   Gem::Specification#required_rubygems_version= 
  0.00      0.000     0.000     0.000     0.000       48   BasicObject#!= 
  0.00      0.000     0.000     0.000     0.000      101   Gem::Specification#executables 
  0.00      0.001     0.000     0.000     0.001       40   Gem::Specification#contains_requirable_file? 
  0.00      0.000     0.000     0.000     0.000      222   String#=== 
  0.00      0.000     0.000     0.000     0.000       83   Time#hash 
  0.00      0.000     0.000     0.000     0.000      101   Gem::Specification#extra_rdoc_files 
  0.00      0.000     0.000     0.000     0.000       76   Gem::Requirement#as_list 
  0.00      0.000     0.000     0.000     0.000       81   Kernel#block_given? 
  0.00      0.000     0.000     0.000     0.000       60   <Class::Pry::Command>#group 
  0.00      0.000     0.000     0.000     0.000        1   Module#public_instance_methods 
  0.00      0.000     0.000     0.000     0.000       67   Gem::Specification#description= 
  0.00      0.000     0.000     0.000     0.000       75   Kernel#is_a? 
  0.00      0.000     0.000     0.000     0.000       58   Gem::Specification#licenses= 
  0.00      0.000     0.000     0.000     0.000        2   Array#- 
  0.00      0.000     0.000     0.000     0.000       38   Gem::Requirement#== 
  0.00      0.000     0.000     0.000     0.000       20   Gem::Dependency#== 
  0.00      0.000     0.000     0.000     0.000       15   Module#extend_object 
  0.00      0.000     0.000     0.000     0.000       73   Module#private 
  0.00      0.000     0.000     0.000     0.000       60   Kernel#proc 
  0.00      0.000     0.000     0.000     0.000       48   <Class::Pry::Command>#banner 
  0.00      0.000     0.000     0.000     0.000        5   <Class::File>#expand_path 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Hash>#[] 
  0.00      0.000     0.000     0.000     0.000       12   MatchData#end 
  0.00      0.011     0.000     0.000     0.011       12   Pry::CommandSet#[] 
  0.00      0.000     0.000     0.000     0.000       15   Kernel#extend 
  0.00      0.000     0.000     0.000     0.000       20   Module#alias_method 
  0.00      0.000     0.000     0.000     0.000        9   <Class::File>#dirname 
  0.00      0.000     0.000     0.000     0.000      101   Array#compact 
  0.00      0.001     0.000     0.000     0.001       91  *Enumerable#any? 
  0.00      0.000     0.000     0.000     0.000        1   Hash#each_key 
  0.00      0.173     0.000     0.000     0.173      160  *Kernel#require 
  0.00      0.000     0.000     0.000     0.000       19   CodeRay::PluginHost#validate_id 
  0.00      0.000     0.000     0.000     0.000       14   <Class::Regexp>#quote 
  0.00      0.000     0.000     0.000     0.000       71   Fixnum#* 
  0.00      0.000     0.000     0.000     0.000       27   Gem::Specification#runtime_dependencies 
  0.00      0.000     0.000     0.000     0.000       52   NilClass#inspect 
  0.00      0.000     0.000     0.000     0.000       76   Array#sort 
  0.00      0.000     0.000     0.000     0.000       74   Kernel#!~ 
  0.00      0.000     0.000     0.000     0.000        3   BasicObject#instance_eval 
  0.00      0.049     0.000     0.000     0.049        5   <Class::Gem::Specification>#_all 
  0.00      0.000     0.000     0.000     0.000        5   Pry::Config::Behavior#method_missing 
  0.00      0.000     0.000     0.000     0.000       18   Comparable#== 
  0.00      0.000     0.000     0.000     0.000        1   Regexp#=== 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Dir>#pwd 
  0.00      0.000     0.000     0.000     0.000        6   <Class::Gem::Specification>#default_specifications_dir 
  0.00      0.000     0.000     0.000     0.000        7   Module#attr_writer 
  0.00      0.000     0.000     0.000     0.000       60   Module#included 
  0.00      0.000     0.000     0.000     0.000       10   Module#module_function 
  0.00      0.000     0.000     0.000     0.000        6   <Module::Gem>#default_dir 
  0.00      0.000     0.000     0.000     0.000        2   CodeRay::Plugin#plugin_host 
  0.00      0.000     0.000     0.000     0.000        2   String#sub 
  0.00      0.000     0.000     0.000     0.000       47   Gem::Specification#files= 
  0.00      0.000     0.000     0.000     0.000       22   Module#method_defined? 
  0.00      0.000     0.000     0.000     0.000        1   Hash#each_pair 
  0.00      0.000     0.000     0.000     0.000        6   Pry::Config::Behavior#[]= 
  0.00      0.000     0.000     0.000     0.000       81   Fixnum#inspect 
  0.00      0.000     0.000     0.000     0.000       10   Module#autoload 
  0.00      0.000     0.000     0.000     0.000        1   String#split 
  0.00      0.000     0.000     0.000     0.000        1   Slop::Option#initialize 
  0.00      0.000     0.000     0.000     0.000        2   <Class::File>#exist? 
  0.00      0.000     0.000     0.000     0.000       24   Gem::Specification#extra_rdoc_files= 
  0.00      0.000     0.000     0.000     0.000       22   Gem::Specification#required_ruby_version= 
  0.00      0.000     0.000     0.000     0.000       13   Gem::Specification#loaded_from 
  0.00      0.000     0.000     0.000     0.000       21   Gem::Specification#rdoc_options= 
  0.00      0.000     0.000     0.000     0.000        2   IO#puts 
  0.00      0.000     0.000     0.000     0.000        8   Module#undef_method 
  0.00      0.000     0.000     0.000     0.000       29   Gem::Specification#executables= 
  0.00      0.000     0.000     0.000     0.000       12   String#intern 
  0.00      0.000     0.000     0.000     0.000        2   Pry::CommandSet#create_command 
  0.00      0.000     0.000     0.000     0.000        6   String#each_line 
  0.00      0.000     0.000     0.000     0.000        2   Pry::CommandSet#disabled_command 
  0.00      0.050     0.000     0.000     0.050        5   <Class::Gem::Specification>#each 
  0.00      0.000     0.000     0.000     0.000       48   Module#< 
  0.00      0.000     0.000     0.000     0.000        5   Gem::Specification#default_gem? 
  0.00      0.001     0.000     0.000     0.001       26   Enumerable#find_all 
  0.00      0.000     0.000     0.000     0.000       10   <Module::CodeRay>#coderay_path 
  0.00      0.000     0.000     0.000     0.000        3   Gem::Version#bump 
  0.00      0.000     0.000     0.000     0.000        2   <Module::Pry::Config::Behavior>#included 
  0.00      0.000     0.000     0.000     0.000        4   Array#index 
  0.00      0.000     0.000     0.000     0.000        6   Regexp#inspect 
  0.00      0.000     0.000     0.000     0.000        4   Gem::Specification#add_self_to_load_path 
  0.00      0.000     0.000     0.000     0.000       14   Module#extended 
  0.00      0.000     0.000     0.000     0.000        8   String#[] 
  0.00      0.001     0.000     0.000     0.001        3   Forwardable#def_instance_delegators 
  0.00      0.000     0.000     0.000     0.000        7   Fixnum#to_s 
  0.00      0.000     0.000     0.000     0.000        1   Array#pack 
  0.00      0.000     0.000     0.000     0.000        1   Slop#initialize 
  0.00      0.000     0.000     0.000     0.000        1   Slop#build_option 
  0.00      0.001     0.000     0.000     0.001        9   Gem::Specification#eql? 
  0.00      0.000     0.000     0.000     0.000        5   Array#reject! 
  0.00      0.001     0.000     0.000     0.001       12   Enumerable#all? 
  0.00      0.000     0.000     0.000     0.000        4   Gem::Specification#raise_if_conflicts 
  0.00      0.000     0.000     0.000     0.000       49   BasicObject#equal? 
  0.00      0.000     0.000     0.000     0.000        3   Proc#call 
  0.00      0.000     0.000     0.000     0.000        1   <Class::File>#directory? 
  0.00      0.049     0.000     0.000     0.049        1   Pry::PluginManager#locate_plugins 
  0.00      0.000     0.000     0.000     0.000        3   Hash#initialize 
  0.00      0.000     0.000     0.000     0.000        1   <Class::Pry>#reset_defaults 
  0.00      0.000     0.000     0.000     0.000       17   Hash#delete 
  0.00      0.000     0.000     0.000     0.000        5   Symbol#to_proc 
  0.00      0.000     0.000     0.000     0.000        1   Slop#parse! 
  0.00      0.001     0.000     0.000     0.001        1   Hash#each_value 
  0.00      0.001     0.000     0.000     0.001        3   Enumerable#find 
  0.00      0.000     0.000     0.000     0.000        1   Pry::Config::Default#configure_history 
  0.00      0.000     0.000     0.000     0.000        6   Array#delete 
  0.00      0.000     0.000     0.000     0.000        1   Object#DelegateClass 
  0.00      0.001     0.000     0.000     0.001        4  *Gem::Specification#activate 
  0.00      0.000     0.000     0.000     0.000       20   Array#[] 
  0.00      0.000     0.000     0.000     0.000        3   <Module::MethodSource::MethodExtensions>#included 
  0.00      0.000     0.000     0.000     0.000        2   Hash#merge 
  0.00      0.000     0.000     0.000     0.000        3   CodeRay::PluginHost#plugin_path 
  0.00      0.000     0.000     0.000     0.000        1   Slop#extract_long_flag 
  0.00      0.000     0.000     0.000     0.000        4   Pry::Config::Behavior#initialize 
  0.00      0.000     0.000     0.000     0.000        9   Time#<=> 
  0.00      0.000     0.000     0.000     0.000        3   Kernel#tap 
  0.00      0.000     0.000     0.000     0.000        3   <Class::Gem::Platform>#match 
  0.00      0.000     0.000     0.000     0.000        7   Module#protected 
  0.00      0.000     0.000     0.000     0.000        2   Kernel#puts 
  0.00      0.000     0.000     0.000     0.000        4   Gem::Specification#conflicts 
  0.00      0.000     0.000     0.000     0.000        2   Array#+ 
  0.00      0.000     0.000     0.000     0.000        1   Fixnum#<< 
  0.00      0.000     0.000     0.000     0.000        1   Pry::Hooks#add_hook 
  0.00      0.001     0.000     0.000     0.001        9   Gem::Specification#same_attributes? 
  0.00      0.000     0.000     0.000     0.000        4   Kernel#freeze 
  0.00      0.000     0.000     0.000     0.000       13   Fixnum#> 
  0.00      0.000     0.000     0.000     0.000        9   Hash#== 
  0.00      0.000     0.000     0.000     0.000        9   Hash#has_key? 
  0.00      0.002     0.000     0.000     0.002        2   Object#get_file 
  0.00      0.002     0.000     0.000     0.002        1   <Module::Gem>#try_activate 
  0.00      0.000     0.000     0.000     0.000        1   Pry::PluginManager::Plugin#load_cli_options 
